sha256,sha1,md5,dex_date,apk_size,pkg_name,vercode,vt_detection,vt_scan_date,dex_size,markets
0000003B455A6C7AF837EF90F2EAFFD856E3B5CF49F5E27191430328DE2FA670,9C14D537A7ADB4CFC43D291352F73E05E0CCDD4A,3EDFC78AB53521942798AD551027D04F,2016-04-05 17:58:46,10386469,"com.zte.bamachaye",121,0,2016-06-15 15:26:44,4765888,anzhi
0000014A634DB98F85038B833A8DFC50D5FB13A464E0B25994E439AEF830CD70,C3EBEC52C9388BF67479FF1385A56C59B3E39E81,0A146750FB447CF3859C9CB659AB04F1,2014-08-20 13:58:10,3537486,"com.tanersenel.onlinetvizle",16,0,2016-11-20 10:26:31,3170096,PlayDrone
000002B63FAD4B030787F6DE4081DC1E12325026EB7DDAD146C52F5F4FC2D525,DD723B32EDD9F70AADBD66846621967157DF9BD4,985E601C17F0A9346590AE92A5AD664E,1980-01-01 00:00:00,4300370,"com.deperu.sitiosarequipa",10000,0,2017-12-03 06:50:28,4211104,play.google.com
000003D3981DC548A772A30D688F424CFB88561A63A2DD888E7CF55171442946,6AE9F138F7E0C63E5D58CC7E82FB05A50F041637,F4789023733E41EE883208ACBC956020,1980-01-01 00:00:00,12958838,"com.safetravels.safetravelsmain",400125,0,2019-06-25 08:55:42,7813520,play.google.com
00000439A3FFA123C3F9BC45E5E821351B1A5C276871B36447AB80C74261F354,375D6FFD167BB5E7E2935B1B927F87D8E44A9AB4,9283C74DD8356C18BB6D94B88B8FDD9B,2011-10-25 02:30:56,1044597,"bmthx.god102409paperi",6,1,2014-04-27 06:30:31,105660,appchina
0000049D8911607971A3336DE5CF36F4799D679D6BB9EF014CBFE73578A6E3EA,433307FF815B8BA4A88BC3EE3EC2C912FFBA063B,B03BEEAFB1975881F11395C4F5F6E2ED,1980-01-01 00:00:00,3161615,"com.bmi.calculatorplus",11,0,2020-07-13 07:37:27,4000432,play.google.com
0000090C2169EFF7E9A889CA1953CF39C887E0FD23A9BEF6E44A387339842C40,E86150BBF222D038F607BA91AD5E6E70C4C86C2A,39DC3F83F0F1E15A791A3964738388E1,2014-08-21 23:38:28,2541606,"eremeev.dev.montecarloradio",8,0,2016-05-19 18:52:41,2302164,PlayDrone
00000989F3E215BA9FC3BDD5B56AF751343B540C1026BF42AEA8FEBF68874ECC,81EA59FE2C95EDEF3662CAF165FF36AB410FA158,71FFF1BA55D7F6BF0AB00C15F6B5BC99,2015-09-02 10:34:48,1375862,"kr.ac.snjc.library",3,0,2016-03-17 04:48:32,2277844,play.google.com
00000F8EE4F64324BA04356745E946152C2F43ECB63372E89DB79830BADAF1BA,ACBDBE1199C224A9F27A23EBEE333BA78180B38C,9ECD6BAF09ECB56DB7C1E3B1CE0C1E79,1980-01-01 00:00:00,5345848,"com.rbsoftware.pfm.personalfinancemanager",48,0,2017-08-17 09:17:27,7308504,play.google.com
00001091AE8F704E461A37576EE67CCCD1F286D07C6C176449FEC86B6984E05F,F0F3A2F67DA2ABC34E02254F1A1CFA7512E036F3,C5E3E0C04F46B1009E8E665C6359D136,1980-01-01 00:00:00,12798854,"com.indoorway.android.fluctus",14,0,2018-09-16 10:33:09,9548124,play.google.com
000010F33B578B4B5C33724520E38BD44485705DC1B6ADDE4975EBBA7F114355,DDE9CA9CC8C9FD67B27E68A637D1015E3852AD4E,8CEE4A742DD05B509007C540CBB86BEE,1980-01-01 00:00:00,4727630,"com.fearless.teengirl",3,0,2018-11-05 13:29:35,7928208,play.google.com
00001112E046D8BBF8B5529A9ECB39920F828209EF4ABFEB95AAB46D41F56A7D,4852E9A9B19DB6CC776AB811EAE6ABD5F845A64B,2A6ECF7A0D56056D653F5B3EDDAFC8A5,2016-08-17 15:42:52,16004883,"com.appautomatic.ankulua.trial",39,0,2016-11-22 17:06:20,1791232,play.google.com
